Unnamed: 0,V1,V2,V3,V4,V5,V6,V7
V1,0,20,33,21,24,24,20
V2,20,0,18,15,18,23,16
V3,33,18,0,24,21,26,26
V4,21,15,24,0,16,18,15
V5,24,18,21,16,0,21,18
V6,24,23,26,18,21,0,19
V7,20,16,26,15,18,19,0
