G22,ID9,ID20,ID55,ID64,ID65
ID9,0,0.0775956,0.0184182,0.0010718,0.0272628
ID20,0.0262295,0,0.0442287,0.0353698,0.0526316
ID55,0.007584,0.0151025,0,0.0941176,0
ID64,0,0.0246517,0.002139,0,0.0310825
ID65,0.0316249,0.0153509,0.0032258,0.0278671,0
