"","V1","V2","V3","V4","V5","V6","V7"
"1",0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,2,2,1,2
"4",0,0,2,0,3,1,1
"5",0,0,2,3,0,5,5
"6",0,0,1,1,5,0,1
"7",0,0,2,1,5,1,0
