,ID10,ID17,ID52,ID53,ID54,ID78
ID10,0,0.039673279,0.00234192,0.011695906,0.003512881,0.005861665
ID17,0.009334889,0,0.012835473,0.008168028,0.012835473,0.001166861
ID52,0.00117096,0.003500583,0,0.077830189,0.088339223,0.003529412
ID53,0.014035088,0.033838973,0.069575472,0,0.011709602,0.002339181
ID54,0.00234192,0.009334889,0.064782097,0.011709602,0,0.005868545
ID78,0,0.007001167,0.004705882,0.014035088,0.004694836,0
