"","V1","V2","V3","V4","V5","V6","V7"
"1",0,0,2,1,1,2,1
"2",0,0,0,0,0,0,0
"3",2,0,0,4,6,6,5
"4",1,0,4,0,4,5,4
"5",1,0,6,4,0,3,7
"6",2,0,6,5,3,0,4
"7",1,0,5,4,7,4,0
