Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8
V1,0,0,0,0,1,0,1,1
V2,0,0,3,1,0,1,0,1
V3,2,0,0,0,2,0,4,0
V4,3,1,4,0,3,5,3,1
V5,3,3,5,5,0,2,1,3
V6,7,4,8,2,2,0,10,5
V7,6,2,17,1,2,0,0,1
V8,3,0,1,1,0,4,6,0
