Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8
V1,0,4,0,0,0,0,0,0
V2,0,0,0,0,0,0,0,0
V3,0,0,0,2,4,1,0,6
V4,0,0,0,0,0,0,0,3
V5,0,0,0,0,0,0,2,6
V6,0,0,0,0,0,0,2,2
V7,0,0,0,0,0,0,0,0
V8,0,0,0,0,0,0,0,0
