,Camila,Tania,Lisala,Limbe,Mirinda,Lolaya,Nefertari
Camila,0,427,225,41,0,0,0
Tania,427,0,417,150,1,97,0
Lisala,225,417,0,0,0,3,0
Limbe,41,150,0,0,0,0,0
Mirinda,0,1,0,0,0,0,0
Lolaya,0,97,3,0,0,0,0
Nefertari,0,0,0,0,0,0,0
