"","V1","V2","V3","V4","V5","V6","V7"
"1",0,22,18,24,25,26,28
"2",22,0,25,31,31,30,32
"3",18,25,0,26,23,29,26
"4",24,31,26,0,29,30,36
"5",25,31,23,29,0,34,37
"6",26,30,29,30,34,0,40
"7",28,32,26,36,37,40,0
