,bd,cb,ct,ds,ed,ev,gw,id,jr,lb,lh,ll,ma,nu,nv,ov,pq,qn,qo,rc,va,wb,wr,ws,xb,xd,xu,zk
bd,0,0,0,0,0,0,0,0.008928571,0,0,0.017857143,0.016168041,0,0.008928571,0,0,0,0,0,0,0,0,0.007194245,0,0,0,0.008928571,0
cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ct,0,0,0,0,0,0,0,0,0,0.007283852,0,0.043614346,0.021851555,0,0,0,0,0,0,0.007283852,0,0,0.007194245,0,0,0,0,0
ds,0,0,0,0,0,0,0,0.014367227,0,0,0,0,0,0,0,0.014096916,0,0,0,0,0,0,0,0,0,0,0,0
ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jr,0,0,0,0,0,0,0,0.007246377,0,0.007246377,0.007246377,0,0,0,0,0.007246377,0,0,0,0,0.014388489,0,0,0,0,0,0,0
lb,0,0,0.007194676,0,0,0,0,0,0.007246377,0,0,0.007194676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lh,0,0,0.007169744,0,0,0,0,0,0,0,0.007169744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ma,0,0,0,0,0.00727855,0,0,0,0,0,0.00727855,0.00723947,0,0,0.00727855,0,0.00727855,0,0,0,0,0,0,0,0,0,0,0
nu,0,0,0,0,0,0.007052932,0,0.007318769,0,0,0,0.007222042,0,0,0,0,0,0.009958672,0,0,0,0,0,0,0,0,0,0
nv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ov,0,0,0,0.014096916,0,0,0,0,0.007246377,0,0,0.014350462,0,0,0.007198388,0,0,0,0.007175231,0,0,0,0,0,0,0,0.014350462,0
pq,0,0,0.007194245,0,0,0,0,0.007318769,0,0,0,0.007194245,0,0.014388489,0,0,0,0,0,0,0,0.028745195,0,0.021213657,0.021560204,0,0,0
qn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009958672,0,0,0,0,0,0,0
qo,0,0,0,0,0,0,0,0,0,0,0.007206688,0,0,0,0,0.014350462,0,0,0,0,0,0,0,0,0,0,0.014492754,0
rc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028441876,0.007171715,0,0,0
va,0,0,0.007283852,0.007048458,0,0,0,0,0.014388489,0.007194245,0,0.00723947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wb,0,0.007235454,0,0,0,0,0,0,0,0,0.014339487,0.043269359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0
wr,0,0,0.021582734,0,0.045559256,0,0,0,0,0,0,0.007194245,0,0,0,0.007175231,0,0,0.007194245,0,0,0.007194245,0,0,0,0,0.007246377,0
ws,0,0,0,0,0,0,0,0,0,0,0,0.00723947,0,0,0,0,0,0,0,0.007228219,0,0,0,0,0,0,0,0
xb,0,0,0,0,0,0,0.007034905,0.01434343,0,0,0,0,0,0,0.035911919,0,0.021515144,0,0,0.007171715,0.007194245,0,0,0,0,0,0,0
xd,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007222042,0,0,0,0,0,0,0,0.00718365,0,0,0,0,0,0
xu,0.007246377,0,0,0,0.015637516,0,0,0,0,0,0,0.014492754,0,0,0,0.007175231,0,0,0.02173913,0,0,0.02173913,0,0,0,0,0,0.014492754
zk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014255167,0,0,0,0,0,0,0,0,0,0.007127584,0,0.007246377,0.007127584
