"","V1","V2","V3","V4","V5","V6"
"1",0,20,18,36,35,26
"2",20,0,31,34,42,42
"3",18,31,0,39,34,37
"4",36,34,39,0,78,72
"5",35,42,34,78,0,67
"6",26,42,37,72,67,0
