"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,3,0,0,0,2,0,0,0,0,0
"4",0,0,0,0,0,1,0,1,0,4,0,0,0,0
"5",0,1,0,1,0,1,0,0,1,2,1,0,0,0
"6",1,3,0,0,0,0,0,0,1,3,1,0,1,0
"7",0,2,0,0,0,0,0,0,0,2,1,0,1,0
"8",0,0,1,0,0,0,0,0,1,0,0,0,0,1
"9",2,0,0,1,0,0,0,0,0,0,2,0,1,0
"10",1,2,0,1,0,0,1,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,3,0,0,0,0,0,3,1,0,1,0,0,0
"14",0,1,0,0,1,0,0,0,0,1,0,0,2,0
