Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,1,1,0,0,0
V2,0,0,0,1,0,0
V3,2,3,0,0,0,2
V4,1,1,0,0,1,2
V5,3,5,2,0,0,2
V6,0,1,0,0,0,0
