Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,0,0,1,1,0,0,0,0
V2,0,0,0,0,0,0,0,0,0
V3,2,5,0,4,1,1,0,1,0
V4,0,0,2,0,3,3,3,0,0
V5,6,5,6,2,0,1,5,1,1
V6,3,1,2,6,2,0,2,0,1
V7,1,5,0,0,2,2,0,0,0
V8,0,2,7,2,1,3,0,0,1
V9,1,3,7,4,1,0,3,1,0
