"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,5,9,16,7,3,5,3,1,3,2
"2",5,0,4,11,8,5,5,9,3,6,3
"3",9,4,0,16,11,3,9,7,6,5,3
"4",16,11,16,0,21,6,7,8,4,4,2
"5",7,8,11,21,0,13,16,11,13,7,4
"6",3,5,3,6,13,0,15,11,6,5,7
"7",5,5,9,7,16,15,0,14,7,6,5
"8",3,9,7,8,11,11,14,0,8,9,2
"9",1,3,6,4,13,6,7,8,0,5,2
"10",3,6,5,4,7,5,6,9,5,0,3
"11",2,3,3,2,4,7,5,2,2,3,0
