Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,7,10,7,10,8
V2,7,0,10,8,7,6
V3,10,10,0,6,9,7
V4,7,8,6,0,7,8
V5,10,7,9,7,0,11
V6,8,6,7,8,11,0
