"","V1","V2","V3","V4","V5","V6"
"1",0,6,15,11,15,17
"2",6,0,12,10,13,15
"3",15,12,0,21,32,20
"4",11,10,21,0,20,20
"5",15,13,32,20,0,22
"6",17,15,20,20,22,0
