,ID3,ID29,ID43,ID57,ID61,ID70,ID71
ID3,0,0.0244989,0.0065646,0.0153173,0.0109649,0.032967,0.0089087
ID29,0.0044543,0,0.0787746,0,0,0.0220751,0
ID43,0.0021882,0.0350109,0,0.0087912,0.0131579,0.0086957,0.0021882
ID57,0,0,0.0065934,0,0.0043573,0.0152505,0.0087527
ID61,0,0,0.0065789,0,0,0.0350877,0.0021882
ID70,0.0175824,0.0706402,0.0086957,0.0152505,0.0526316,0,0.0415755
ID71,0.013363,0.0175055,0.0175055,0.0262582,0.0021882,0.0175055,0
