Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,0,0,0,0,0
V2,0,0,0,4,2,1
V3,0,0,0,2,1,2
V4,0,4,2,0,2,2
V5,0,2,1,2,0,1
V6,0,1,2,2,1,0
