"","V1","V2","V3","V4","V5","V6"
"1",0,1,1,0,0,1
"2",3,0,6,2,0,2
"3",1,14,0,6,5,5
"4",1,5,1,0,9,5
"5",0,4,2,1,0,3
"6",2,10,1,2,4,0
