"","V1","V2","V3","V4","V5","V6"
"1",0,12,14,13,15,18
"2",12,0,16,13,12,19
"3",14,16,0,15,16,36
"4",13,13,15,0,20,34
"5",15,12,16,20,0,30
"6",18,19,36,34,30,0
