Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,0,0,1,1,0
V2,0,0,0,0,0,0
V3,1,1,0,6,3,2
V4,1,1,1,0,2,1
V5,1,2,1,0,0,0
V6,3,0,2,1,1,0
