Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8
V1,0,1,0,0,0,1,0,0
V2,0,0,1,0,3,1,0,3
V3,0,0,0,4,1,1,0,0
V4,0,0,0,0,1,0,1,0
V5,0,0,0,0,0,2,3,3
V6,0,0,0,0,0,0,1,0
V7,0,0,0,0,0,0,0,0
V8,0,0,0,0,0,0,0,0
