"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
"4",0,0,0,0,7,8,4,9,11,5,5,4,5,1,3
"5",0,0,1,7,0,14,9,4,10,5,6,5,3,6,3
"6",0,0,0,8,14,0,7,7,12,6,8,4,8,6,4
"7",0,0,0,4,9,7,0,2,2,5,6,5,2,5,3
"8",0,0,0,9,4,7,2,0,14,5,5,5,5,2,4
"9",0,0,0,11,10,12,2,14,0,6,8,11,10,6,5
"10",0,0,0,5,5,6,5,5,6,0,5,6,5,4,3
"11",0,0,0,5,6,8,6,5,8,5,0,5,1,3,3
"12",0,0,1,4,5,4,5,5,11,6,5,0,7,5,5
"13",0,0,1,5,3,8,2,5,10,5,1,7,0,8,6
"14",0,0,0,1,6,6,5,2,6,4,3,5,8,0,3
"15",1,0,1,3,3,4,3,4,5,3,3,5,6,3,0
