Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,0,0,0,0,0,0,0,0
V2,0,0,0,0,0,0,0,0,0
V3,0,0,0,5,5,3,3,3,3
V4,0,0,5,0,6,7,6,6,7
V5,0,0,5,6,0,6,6,10,7
V6,0,0,3,7,6,0,6,7,8
V7,0,0,3,6,6,6,0,7,6
V8,0,0,3,6,10,7,7,0,5
V9,0,0,3,7,7,8,6,5,0
