,Camila,Lisala,Limbe,Lolaya,Mirinda,Nefertari
Camila,0,1,3,6,0,2
Lisala,0,0,0,2,0,0
Limbe,0,0,0,12,1,6
Lolaya,0,0,0,0,0,0
Mirinda,0,0,0,0,0,0
Nefertari,0,0,0,0,0,0
