"","V1","V2","V3","V4","V5","V6"
"1",0,14,15,14,11,15
"2",14,0,23,29,30,25
"3",15,23,0,42,34,34
"4",14,29,42,0,37,30
"5",11,30,34,37,0,26
"6",15,25,34,30,26,0
