"","V1","V2","V3","V4","V5","V6"
"1",0,15,23,18,26,22
"2",15,0,42,38,38,45
"3",23,42,0,60,63,63
"4",18,38,60,0,66,74
"5",26,38,63,66,0,61
"6",22,45,63,74,61,0
