,SA,GA,GE,PA,PHI,GI,JO,NI,MI,SU,RA,CHE,DA
SA,0,0.104166667,0.130208333,0.026041667,0.052083333,0,0.026041667,0,0,0.130208333,0.052083333,0,0
GA,0.390625,0,0,0,0.15625,0,0.052083333,0,0.026041667,0,0,0,0
GE,0.078125,0,0,0.052083333,0,0,0,0,0.052083333,0,0,0,0
PA,0.15625,0,0,0,0,0.052083333,0.15625,0,0,0,0,0,0
PHI,0.078125,0,0.052083333,0,0,0,0.026041667,0.026041667,0,0.026041667,0,0,0
GI,0.052083333,0,0,0.052083333,0,0,0,0.104166667,0,0,0,0,0
JO,0.026041667,0.026041667,0.052083333,0.3125,0.026041667,0,0,0.052083333,0.026041667,0,0,0,0
NI,0.104166667,0,0.026041667,0.078125,0,0,0,0,0,0,0,0,0
MI,0,0,0.104166667,0,0.026041667,0,0.052083333,0,0,0.026041667,0,0,0
SU,0.182291667,0,0,0,0.026041667,0,0.052083333,0,0,0,0,0,0
RA,0,0,0,0.026041667,0,0,0,0,0.026041667,0,0,0,0
CHE,0,0,0.026041667,0,0,0,0.026041667,0,0.052083333,0,0,0,0.208333333
DA,0,0,0,0,0,0,0.078125,0,0,0,0,0,0
