Unnamed: 0,V1,V2,V3,V4,V5,V6
V1,0,12,14,13,15,18
V2,12,0,16,13,12,19
V3,14,16,0,15,16,36
V4,13,13,15,0,20,34
V5,15,12,16,20,0,30
V6,18,19,36,34,30,0
