Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
V1,0,0,0,0,0,0,0,0,0,0,0
V2,0,0,0,0,0,0,0,0,0,0,0
V3,0,0,0,2,2,4,3,5,3,4,3
V4,0,0,2,0,2,3,9,8,3,3,3
V5,0,0,2,2,0,6,7,7,7,7,6
V6,0,0,4,3,6,0,11,18,15,13,13
V7,0,0,3,9,7,11,0,25,12,17,10
V8,0,0,5,8,7,18,25,0,19,22,19
V9,0,0,3,3,7,15,12,19,0,22,21
V10,0,0,4,3,7,13,17,22,22,0,23
V11,0,0,3,3,6,13,10,19,21,23,0
