"","V1","V2","V3","V4","V5","V6"
"1",0,1,1,0,0,0
"2",0,0,0,1,0,0
"3",2,3,0,0,0,2
"4",1,1,0,0,1,2
"5",3,5,2,0,0,2
"6",0,1,0,0,0,0
