,ID6,ID28,ID30,ID44,ID83,ID86
ID6,0,0.0118243,0.0082781,0,0.0098039,0.0016556
ID28,0,0,0.0628099,0.0199005,0.0168919,0.0231405
ID30,0,0.0330579,0,0.0068847,0.0322034,0.0651801
ID44,0,0.0116086,0.0154905,0,0.0146789,0.0242215
ID83,0,0.0253378,0.0322034,0.0183486,0,0.0119454
ID86,0,0.0132231,0.0360206,0.0207612,0.0085324,0
