G21,ID9,ID10,ID20,ID55,ID55,ID64
ID9,0,0.014625229,0.033027523,0.005494505,0.001824818,0.003669725
ID10,0.009140768,0,0.041121495,0.020183486,0,0.005514706
ID20,0.009174312,0.039252336,0,0.011090573,0.020072993,0.016981132
ID55,0.003663004,0,0.001848429,0,0.01459854,0
ID55,0.003649635,0,0.001824818,0.020072993,0,0.040145985
ID64,0.005504587,0,0.020754717,0,0.009124088,0
