Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9
V1,0,13,10,10,4,9,6,7,10
V2,13,0,9,11,7,8,3,5,7
V3,10,9,0,13,4,15,10,9,9
V4,10,11,13,0,4,7,5,6,7
V5,4,7,4,4,0,7,6,11,9
V6,9,8,15,7,7,0,8,10,12
V7,6,3,10,5,6,8,0,9,9
V8,7,5,9,6,11,10,9,0,14
V9,10,7,9,7,9,12,9,14,0
