,ID11,ID12,ID28,ID37,ID67,ID83
ID11,0,0.012048193,0.012396694,0,0.088607595,0.048192771
ID12,0,0,0.008264463,0,0.004016064,0
ID28,0,0,0,0.064516129,0,0.019920319
ID37,0.011952191,0.016064257,0.044354839,0,0,0
ID67,0.063291139,0.008032129,0.036734694,0,0,0.003984064
ID83,0.0562249,0.004,0.043824701,0,0,0
