"","V1","V2","V3","V4","V5","V6"
"1",0,12,0,1,0,0
"2",0,0,0,0,0,0
"3",0,0,0,4,2,2
"4",0,0,1,0,1,4
"5",0,0,0,1,0,0
"6",0,0,0,0,1,0
