Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8
V1,0,0,0,0,0,0,0,0
V2,0,0,0,0,0,0,0,0
V3,0,0,0,6,9,2,11,2
V4,0,0,6,0,13,10,15,8
V5,0,0,9,13,0,10,12,9
V6,0,0,2,10,10,0,6,6
V7,0,0,11,15,12,6,0,9
V8,0,0,2,8,9,6,9,0
