source,target,weight,Age_Giver,Age_Recipient
Etiath,Addede,1,78,164
Thiahe,Addede,1,57,141
Brtero,Addede,1,98,140
Etiath,Addede,1,54,140
Zaiaam,Addede,1,32,141
Etiath,Addede,1,55,141
Lomeom,Addede,1,NA,141
Sheyhe,Addede,1,83,139
Etiath,Addede,1,55,141
Zaiaam,Addede,1,55,164
Zaiaam,Addede,1,32,140
Etiath,Addede,1,54,141
Zaiaam,Addede,1,55,164
Brtero,Addede,1,97,140
Etiath,Addede,1,55,141
Etiath,Addede,1,55,141
Etiath,Addede,1,54,140
Etiath,Addede,1,78,164
Chadha,Addede,1,17,140
Lomeom,Addede,1,NA,141
Brtero,Addede,1,99,141
Zaiaam,Addede,1,55,164
Zaiaam,Addede,1,31,140
Sineie,Addede,1,50,141
Mbmeba,Addede,1,NA,139
Brtero,Addede,1,99,141
Lomeom,Addede,1,NA,141
Sheyhe,Addede,1,107,163
Etiath,Addede,1,55,141
Etiath,Addede,1,54,141
Etiath,Addede,1,55,141
Sheyhe,Addede,1,84,141
Brtero,Addede,1,99,141
Zaiaam,Addede,1,55,164
Lomeom,Addede,1,NA,141
Nieyia,Addede,1,NA,164
Togoog,Addede,1,26,164
Brtero,Addede,1,99,141
Togoog,Addede,1,27,164
Zaiaam,Addede,1,55,164
Mbmeba,Addede,1,NA,164
Sheyhe,Addede,1,84,140
Lomeom,Addede,1,NA,140
Sheyhe,Addede,1,83,140
Nieyia,Addede,1,NA,139
Etiath,Addede,1,54,141
Etiath,Addede,1,78,164
Sheyhe,Addede,1,85,141
Budiur,Addede,1,29,141
Zaiaam,Addede,1,32,141
Nieyia,Addede,1,NA,141
Zaiaam,Addede,1,55,164
Zaiaam,Addede,1,55,164
Etiath,Addede,1,55,141
Etiath,Addede,1,77,164
Sheyhe,Addede,1,85,141
Etiath,Addede,1,78,164
Etiath,Addede,1,54,141
Brtero,Addede,1,99,141
Brtero,Addede,1,99,141
Sineie,Addede,1,49,140
Etiath,Addede,1,54,141
Zaiaam,Addede,1,55,164
Togoog,Addede,1,27,164
Togoog,Addede,1,27,164
Zaiaam,Addede,1,55,164
Lomeom,Addede,1,NA,141
Etiath,Addede,1,78,164
Brtero,Addede,1,99,141
Zaiaam,Addede,1,32,141
Zaiaam,Addede,1,55,164
Zaiaam,Addede,1,55,164
Sheyhe,Addede,1,83,140
Zaiaam,Addede,1,55,164
Nieyia,Addede,1,NA,141
Etiath,Addede,1,55,141
Nieyia,Addede,1,NA,164
Nieyia,Addede,1,NA,141
Mbmeba,Addede,1,NA,140
Etiath,Addede,1,78,164
Nieyia,Addede,1,NA,141
Sheyhe,Addede,1,83,140
Zaiaam,Addede,1,55,164
Nieyia,Addede,1,NA,140
Thiahe,Addede,1,56,140
Mawial,Ad18de,1,33,8
Etiath,Ad18de,1,77,7
Etiath,Ad18de,1,78,8
Addede,Ad18de,1,164,8
Addede,Ad18de,1,164,8
Addede,Ad18de,1,164,8
Zaiaam,Ad18de,1,55,7
Etiath,Ad18de,1,78,8
Etiath,Ad18de,1,78,8
Etiath,Ad18de,1,77,7
Addede,Ad18de,1,164,8
Etiath,Ad18de,1,77,7
Zaiaam,Ad18de,1,55,7
Addede,Ad18de,1,164,7
Etiath,Ad18de,1,77,7
Sheyhe,Brtero,1,107,122
Sineie,Brtero,1,50,98
Etiath,Brtero,1,78,122
Addede,Brtero,1,140,97
CJJDJD,Brtero,1,98,98
Budiur,Brtero,1,53,122
Hoerom,Brtero,1,104,122
Sineie,Brtero,1,72,121
Sineie,Brtero,1,73,122
Lomeom,Brtero,1,NA,98
Budiur,Brtero,1,52,121
Etiath,Brtero,1,77,122
Budiur,Brtero,1,52,121
Thiahe,Brtero,1,80,122
Chadha,Brtero,1,39,121
Sheyhe,Brtero,1,107,121
Nieyia,Brtero,1,NA,98
Zaiaam,Brtero,1,55,122
Budiur,Brtero,1,52,122
Sheyhe,Brtero,1,84,99
Zaiaam,Brtero,1,55,122
Sineie,Brtero,1,73,122
Sineie,Brtero,1,73,122
Thiahe,Brtero,1,57,99
Sineie,Brtero,1,50,99
Zaiaam,Brtero,1,55,122
Etiath,Brtero,1,54,98
Thiahe,Brtero,1,80,122
Lomeom,Brtero,1,NA,98
Faoyat,Brtero,1,55,97
Sineie,Brtero,1,49,98
Sineie,Brtero,1,73,122
Sineie,Brtero,1,50,99
Zaiaam,Brtero,1,32,99
Thiahe,Brtero,1,57,99
Sineie,Brtero,1,73,122
Sineie,Brtero,1,73,122
Etiath,Brtero,1,78,122
Budiur,Brtero,1,53,122
Voreol,Brtero,1,NA,99
Nieyia,Brtero,1,NA,97
Zaiaam,Brtero,1,55,122
Mawial,Brtero,1,33,122
Sineie,Brtero,1,73,122
Sineie,Brtero,1,73,122
Zaiaam,Brtero,1,55,122
Etiath,Brtero,1,77,121
Nieyia,Brtero,1,NA,98
Mbmeba,Brtero,1,NA,98
Zaiaam,Brtero,1,31,98
Lomeom,Brtero,1,NA,122
Budiur,Brtero,1,52,122
Zaiaam,Brtero,1,55,122
Budiur,Brtero,1,52,121
Brtero,Br19ro,1,122,2
Sineie,Br19ro,1,73,2
Sineie,Br19ro,1,73,2
Budiur,Br19ro,1,53,2
Zaiaam,Br19ro,1,55,2
Sineie,Br19ro,1,73,2
Sineie,Br19ro,1,73,2
Sineie,Br19ro,1,73,2
Sineie,Br19ro,1,73,2
Nieyia,Budiur,1,NA,30
Lomeom,Budiur,1,NA,29
Sheyhe,Budiur,1,85,30
Lomeom,Budiur,1,NA,29
Lomeom,Budiur,1,NA,53
Lomeom,Budiur,1,NA,29
Lomeom,Budiur,1,NA,53
Lomeom,Budiur,1,NA,53
Lomeom,Budiur,1,NA,30
Lomeom,Budiur,1,NA,52
Sineie,Budiur,1,73,52
Lomeom,Budiur,1,NA,30
Lomeom,Budiur,1,NA,53
Sineie,Budiur,1,50,30
Lomeom,Budiur,1,NA,29
Lomeom,Budiur,1,NA,29
Sineie,Budiur,1,49,29
Sineie,Budiur,1,50,30
Lomeom,Budiur,1,NA,29
Lomeom,Budiur,1,NA,52
Sineie,Budiur,1,49,29
Lomeom,Budiur,1,NA,52
Lomeom,Budiur,1,NA,29
Lomeom,Budiur,1,NA,30
Sineie,Budiur,1,50,29
Brtero,Budiur,1,122,53
Sineie,Budiur,1,73,53
Lomeom,Budiur,1,NA,29
Nieyia,Budiur,1,NA,30
Lomeom,Budiur,1,NA,29
Sineie,Budiur,1,50,30
Sineie,Budiur,1,50,30
