focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
violet,nina,0,female,female,22.58179329,10.36550308
zsabu,nina,0,male,female,23.58110883,10.36550308
pan,noel,0,male,female,24.58042437,36.58042437
pippa,noel,0,female,female,24.58042437,36.58042437
taylor,noel,0,female,female,8.873374401,36.58042437
tess,noel,0,female,female,15.58110883,36.58042437
trixie,noel,0,female,female,23.58110883,36.58042437
violet,noel,0,female,female,22.58179329,36.58042437
zsabu,noel,0.142857143,male,female,23.58110883,36.58042437
pippa,pan,0,female,male,24.58042437,24.58042437
taylor,pan,0,female,male,8.873374401,24.58042437
tess,pan,0,female,male,15.58110883,24.58042437
trixie,pan,0,female,male,23.58110883,24.58042437
violet,pan,0,female,male,22.58179329,24.58042437
zsabu,pan,0.25,male,male,23.58110883,24.58042437
taylor,pippa,0,female,female,8.873374401,24.58042437
tess,pippa,0.125,female,female,15.58110883,24.58042437
trixie,pippa,0,female,female,23.58110883,24.58042437
violet,pippa,0,female,female,22.58179329,24.58042437
zsabu,pippa,0.1,male,female,23.58110883,24.58042437
tess,taylor,0,female,female,15.58110883,8.873374401
trixie,taylor,1,female,female,23.58110883,8.873374401
violet,taylor,0,female,female,22.58179329,8.873374401
zsabu,taylor,0,male,female,23.58110883,8.873374401
trixie,tess,0,female,female,23.58110883,15.58110883
violet,tess,0,female,female,22.58179329,15.58110883
zsabu,tess,0,male,female,23.58110883,15.58110883
violet,trixie,0,female,female,22.58179329,23.58110883
zsabu,trixie,0,male,female,23.58110883,23.58110883
zsabu,violet,0.25,male,female,23.58110883,22.58179329
