focal,partner,simple_ratio,focal.sex,partner.sex,focal.age,partner.age
regina,gerard,0,female,male,7.58110883,11.2991102
renata,gerard,0,female,male,16.55578371,11.2991102
rita,gerard,0,female,male,30.58179329,11.2991102
rusty,gerard,0,male,male,6.798083504,11.2991102
tara,gerard,0.142857143,male,male,30.58179329,11.2991102
tobar,gerard,0,male,male,31.58110883,11.2991102
goliath,girly,0.142857143,male,female,21.86173854,31.58110883
gonzaga,girly,0.5,male,female,5.582477755,31.58110883
ilse,girly,0.1,female,female,11.23613963,31.58110883
ingrid,girly,0,female,female,22.58179329,31.58110883
innocentia,girly,0,female,female,6.557152635,31.58110883
josephine,girly,0,female,female,30.58179329,31.58110883
lionel,girly,0,male,female,13.58247775,31.58110883
pal,girly,0,male,female,32.58042437,31.58110883
regina,girly,0,female,female,7.58110883,31.58110883
renata,girly,0,female,female,16.55578371,31.58110883
rita,girly,0,female,female,30.58179329,31.58110883
rusty,girly,0,male,female,6.798083504,31.58110883
tara,girly,0,male,female,30.58179329,31.58110883
tobar,girly,0.090909091,male,female,31.58110883,31.58110883
gonzaga,goliath,0,male,male,5.582477755,21.86173854
ilse,goliath,0.111111111,female,male,11.23613963,21.86173854
ingrid,goliath,0,female,male,22.58179329,21.86173854
innocentia,goliath,0,female,male,6.557152635,21.86173854
josephine,goliath,0.166666667,female,male,30.58179329,21.86173854
lionel,goliath,0,male,male,13.58247775,21.86173854
pal,goliath,0,male,male,32.58042437,21.86173854
regina,goliath,0,female,male,7.58110883,21.86173854
renata,goliath,0,female,male,16.55578371,21.86173854
rita,goliath,0,female,male,30.58179329,21.86173854
rusty,goliath,0,male,male,6.798083504,21.86173854
tara,goliath,0.6,male,male,30.58179329,21.86173854
tobar,goliath,0,male,male,31.58110883,21.86173854
ilse,gonzaga,0,female,male,11.23613963,5.582477755
ingrid,gonzaga,0,female,male,22.58179329,5.582477755
innocentia,gonzaga,0.2,female,male,6.557152635,5.582477755
josephine,gonzaga,0.2,female,male,30.58179329,5.582477755
lionel,gonzaga,0,male,male,13.58247775,5.582477755
pal,gonzaga,0,male,male,32.58042437,5.582477755
regina,gonzaga,0,female,male,7.58110883,5.582477755
renata,gonzaga,0,female,male,16.55578371,5.582477755
rita,gonzaga,0,female,male,30.58179329,5.582477755
rusty,gonzaga,0,male,male,6.798083504,5.582477755
tara,gonzaga,0,male,male,30.58179329,5.582477755
tobar,gonzaga,0.222222222,male,male,31.58110883,5.582477755
ingrid,ilse,0.25,female,female,22.58179329,11.23613963
innocentia,ilse,0,female,female,6.557152635,11.23613963
josephine,ilse,0,female,female,30.58179329,11.23613963
lionel,ilse,0,male,female,13.58247775,11.23613963
pal,ilse,0.111111111,male,female,32.58042437,11.23613963
regina,ilse,0,female,female,7.58110883,11.23613963
renata,ilse,0,female,female,16.55578371,11.23613963
rita,ilse,0,female,female,30.58179329,11.23613963
rusty,ilse,0,male,female,6.798083504,11.23613963
tara,ilse,0,male,female,30.58179329,11.23613963
tobar,ilse,0.076923077,male,female,31.58110883,11.23613963
innocentia,ingrid,0.333333333,female,female,6.557152635,22.58179329
josephine,ingrid,0,female,female,30.58179329,22.58179329
lionel,ingrid,0,male,female,13.58247775,22.58179329
pal,ingrid,0,male,female,32.58042437,22.58179329
regina,ingrid,0.066666667,female,female,7.58110883,22.58179329
renata,ingrid,0.166666667,female,female,16.55578371,22.58179329
rita,ingrid,0,female,female,30.58179329,22.58179329
rusty,ingrid,0,male,female,6.798083504,22.58179329
tara,ingrid,0.125,male,female,30.58179329,22.58179329
tobar,ingrid,0,male,female,31.58110883,22.58179329
josephine,innocentia,0.166666667,female,female,30.58179329,6.557152635
lionel,innocentia,0,male,female,13.58247775,6.557152635
pal,innocentia,0,male,female,32.58042437,6.557152635
regina,innocentia,0,female,female,7.58110883,6.557152635
renata,innocentia,0,female,female,16.55578371,6.557152635
rita,innocentia,0,female,female,30.58179329,6.557152635
rusty,innocentia,0,male,female,6.798083504,6.557152635
tara,innocentia,0,male,female,30.58179329,6.557152635
tobar,innocentia,0,male,female,31.58110883,6.557152635
