source,target,weight,Age_Giver,Age_Recipient
Sheyhe,Addede,1,59,116
Yadeao,Addede,1,NA,118
Sheyhe,Addede,1,60,116
Fildit,Addede,1,56,116
Yadeao,Addede,1,NA,116
Yadeao,Addede,1,NA,117
Brlera,Addede,1,NA,114
Lomeom,Addede,1,NA,103
Sheyhe,Addede,1,48,104
ShRahe,Addede,1,44,104
Brtero,Addede,1,74,116
Harear,Addede,1,NA,103
Nieyia,Addede,1,NA,103
Yadeao,Addede,1,NA,116
Nieyia,Addede,1,NA,103
Fildit,Addede,1,44,103
Yadeao,Addede,1,NA,114
Sheyhe,Addede,1,61,117
Yadeao,Addede,1,NA,117
Frwnre,Addede,1,94,102
Brtero,Addede,1,73,116
Lomeom,Addede,1,NA,116
Kisain,Addede,1,NA,102
Sheyhe,Addede,1,59,115
Nieyia,Addede,1,NA,104
Sheyhe,Addede,1,58,115
Waceal,Addede,1,NA,103
Brlera,Addede,1,NA,103
Sheyhe,Addede,1,60,116
Kalaam,Addede,1,NA,116
Nieyia,Addede,1,NA,114
Hoerom,Addede,1,56,116
Nieyia,Addede,1,NA,103
Yadeao,Addede,1,NA,116
Joceoy,Addede,1,39,102
Thiahe,Addede,1,19,103
Brtero,Addede,1,73,116
Nieyia,Addede,1,NA,103
Sheyhe,Addede,1,61,117
Waceal,Addede,1,NA,104
Sheyhe,Addede,1,61,117
Sheyhe,Addede,1,60,116
Sheyhe,Addede,1,61,117
Harear,Addede,1,NA,118
Sheyhe,Addede,1,47,103
Joceoy,Addede,1,39,103
Harear,Addede,1,NA,104
ShRahe,Addede,1,56,116
Frwnre,Amlimb,1,121,24
Ethato,Amlimb,1,35,52
Muinuf,Amlimb,1,44,35
Ethato,Amlimb,1,42,59
Ethato,Amlimb,1,18,35
Muinuf,Amlimb,1,46,36
Priare,Amlimb,1,NA,36
Ethato,Amlimb,1,43,60
Doleoy,Amlimb,1,61,23
Harear,Amlimb,1,NA,59
Xenaen,Amlimb,1,34,36
Priare,Amlimb,1,NA,24
Pietik,Amlimb,1,31,35
Priare,Amlimb,1,NA,23
Xenaen,Amlimb,1,33,36
Ethato,Amlimb,1,34,51
Ketsea,Amlimb,1,30,24
Xenaen,Amlimb,1,20,23
Xenaen,Amlimb,1,54,56
Joceoy,Amlimb,1,78,36
Ethato,Amlimb,1,41,58
Ganeab,Amlimb,1,NA,36
Ethato,Amlimb,1,42,59
Hoonou,Amlimb,1,43,57
Priare,Amlimb,1,NA,24
Priare,Amlimb,1,NA,36
Byonyr,Amlimb,1,48,52
Xenaen,Amlimb,1,20,23
Ethato,Amlimb,1,20,36
Xenaen,Amlimb,1,34,37
Xenaen,Amlimb,1,21,24
Xenaen,Amlimb,1,47,50
Scpfch,Amlimb,1,57,24
Priare,Amlimb,1,NA,35
Karial,Amlimb,1,67,56
Xenaen,Amlimb,1,48,51
Ethato,Amlimb,1,6,23
Priare,Amlimb,1,NA,51
Priare,Amlimb,1,NA,24
Yaraao,Amlimb,1,64,37
Hoerom,Amlimb,1,81,36
Priare,Amlimb,1,NA,35
Harear,Amlimb,1,NA,35
Ethato,Amlimb,1,19,36
Xenaen,Amlimb,1,55,57
Byonyr,Amlimb,1,54,58
Setier,Amlimb,1,78,59
Priare,Amlimb,1,NA,24
Auenus,Amlimb,1,93,49
Harear,Amlimb,1,NA,57
Setier,Amlimb,1,54,35
Mosaom,Amlimb,1,41,36
Priare,Amlimb,1,NA,24
Ethato,Amlimb,1,42,58
Yaraao,Amlimb,1,62,35
Xenaen,Amlimb,1,55,58
Doleoy,Amlimb,1,95,57
Anvont,Amlimb,1,67,58
Scpica,Anvont,1,NA,67
Scpica,Anvont,1,NA,7
Scpica,Anvont,1,NA,32
Pietik,Anvont,1,45,58
Scpfch,Anvont,1,83,59
Scpica,Anvont,1,NA,33
ShRahe,Anvont,1,69,33
Trnsra,Anvont,1,30,67
Scpica,Anvont,1,NA,8
Scpfch,Anvont,1,69,45
Scpica,Anvont,1,NA,32
Scpica,Anvont,1,NA,32
Scpica,Anvont,1,NA,32
Scpfch,Anvont,1,69,45
Takaan,Anvont,1,42,59
Scpica,Anvont,1,NA,45
Takaan,Anvont,1,51,68
Molaog,Anvont,1,25,66
Toenol,Anvont,1,71,45
Scpica,Anvont,1,NA,44
Scpica,Anvont,1,NA,67
Pietik,Anvont,1,20,33
Karial,Anvont,1,61,59
Isrosh,Anvont,1,45,68
Ketsea,Anvont,1,56,59
Scpica,Anvont,1,NA,32
Pietik,Anvont,1,30,43
Scpfch,Anvont,1,90,66
Scpfch,Anvont,1,69,45
Scpica,Anvont,1,NA,58
Scpica,Anvont,1,NA,33
Sesseu,Anvont,1,43,66
Scpica,Anvont,1,NA,60
Scpica,Anvont,1,NA,33
Mosaom,Anvont,1,41,44
Setier,Anvont,1,55,45
Scpica,Anvont,1,NA,32
Trnsra,Anvont,1,29,66
Scpfch,Anvont,1,69,45
Scpica,Anvont,1,NA,33
Trnsra,Anvont,1,30,67
Scpica,Anvont,1,NA,32
Scpfch,Anvont,1,69,45
Pietik,Anvont,1,19,32
Scpica,Anvont,1,NA,33
Auenus,Anvont,1,100,65
Auenus,Anvont,1,100,65
Harear,Anvont,1,NA,45
Scpica,Anvont,1,NA,33
Scpfch,Anvont,1,69,45
Scpica,Anvont,1,NA,32
Karial,Anvont,1,61,59
Sesseu,Anvont,1,36,59
Scpfch,Anvont,1,57,33
Scpica,Anvont,1,NA,8
Scpfch,Anvont,1,57,33
Scpfch,Anvont,1,69,45
Kisain,Anvont,1,NA,44
Scpfch,Anvont,1,57,33
Vigair,Anvont,1,44,33
Scpfch,Anvont,1,57,33
Scpfch,Anvont,1,68,44
Scpica,Anvont,1,NA,33
Scpfch,Anvont,1,68,44
Pietik,Anvont,1,31,45
Takaan,Anvont,1,50,67
Scpica,Anvont,1,NA,32
Pietik,Anvont,1,31,44
Pietik,Anvont,1,20,33
Scpfch,Anvont,1,69,45
Nykayi,Anvont,1,19,67
Frwnre,Anvont,1,146,58
Ketsea,Anvont,1,64,67
Ethato,Anvont,1,20,45
Scpica,Anvont,1,NA,45
Ketsea,Anvont,1,42,45
Muinuf,Anvont,1,67,67
Xenaen,Anvont,1,55,67
Scpica,Anvont,1,NA,33
Scpica,Anvont,1,NA,33
Scpica,Anvont,1,NA,7
Scpfch,Anvont,1,57,33
Mosaom,Anvont,1,41,45
ShRahe,Anvont,1,68,32
Scpfch,Anvont,1,69,45
Takaan,Anvont,1,51,68
Priare,Anvont,1,NA,66
Doleoy,Anvont,1,62,33
Ketsea,Anvont,1,62,65
Setier,Anvont,1,55,45
Setier,Anvont,1,69,59
Trnsra,Anvont,1,29,66
Sesseu,Anvont,1,43,65
Scpfch,Anvont,1,31,7
Scpica,Anvont,1,NA,32
Scpica,Anvont,1,NA,32
Scpica,Anvont,1,NA,68
Scpica,Anvont,1,NA,7
Scpfch,Anvont,1,83,59
Scpfch,Anvont,1,69,45
Scpfch,Anvont,1,68,44
Dinsic,Anvont,1,119,60
Scpfch,Anvont,1,69,45
Lukaus,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,43
ShRahe,Asovsi,1,80,80
Scpfch,Asovsi,1,57,69
Byonyr,Asovsi,1,19,68
Fildit,Asovsi,1,43,43
Vigair,Asovsi,1,43,68
Joceoy,Asovsi,1,40,43
Lukaus,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,57
Lukaus,Asovsi,1,NA,56
Lukaus,Asovsi,1,NA,56
Priare,Asovsi,1,NA,81
Lukaus,Asovsi,1,NA,44
Doleoy,Asovsi,1,73,81
Ganeab,Asovsi,1,NA,80
Lukaus,Asovsi,1,NA,56
Lukaus,Asovsi,1,NA,56
Lukaus,Asovsi,1,NA,44
Lukaus,Asovsi,1,NA,43
Ganeab,Asovsi,1,NA,81
Harear,Asovsi,1,NA,82
Vigair,Asovsi,1,44,69
Lukaus,Asovsi,1,NA,57
Doleoy,Asovsi,1,50,57
Lukaus,Asovsi,1,NA,43
Byonyr,Asovsi,1,32,81
Lukaus,Asovsi,1,NA,56
Sheyhe,Asovsi,1,46,43
Vigair,Asovsi,1,44,69
Lukaus,Asovsi,1,NA,69
Byonyr,Asovsi,1,32,82
Lukaus,Asovsi,1,NA,44
Ganeab,Asovsi,1,NA,80
Lukaus,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,56
Lukaus,Asovsi,1,NA,43
Doleoy,Asovsi,1,62,70
Lukaus,Asovsi,1,NA,44
Lukaus,Asovsi,1,NA,81
Lukaus,Asovsi,1,NA,68
Lukaus,Asovsi,1,NA,43
Vigair,Asovsi,1,56,80
Ganeab,Asovsi,1,NA,69
ShRahe,Asovsi,1,44,44
Lukaus,Asovsi,1,NA,43
Brlera,Asovsi,1,NA,80
Auenus,Asovsi,1,80,82
Lukaus,Asovsi,1,NA,55
Lukaus,Asovsi,1,NA,69
Lukaus,Asovsi,1,NA,69
Lukaus,Asovsi,1,NA,58
Yadeao,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,43
ShRahe,Asovsi,1,69,69
JKJKK,Asovsi,1,92,68
Byonyr,Asovsi,1,19,68
Lukaus,Asovsi,1,NA,55
Vigair,Asovsi,1,56,81
Lukaus,Asovsi,1,NA,56
Doleoy,Asovsi,1,74,81
Lukaus,Asovsi,1,NA,80
Lukaus,Asovsi,1,NA,44
Lukaus,Asovsi,1,NA,44
Okgoka,Asovsi,1,131,70
Lukaus,Asovsi,1,NA,69
Callar,Asovsi,1,54,54
Lukaus,Asovsi,1,NA,70
Ganeab,Asovsi,1,NA,81
Lukaus,Asovsi,1,NA,55
Lukaus,Asovsi,1,NA,56
Sheyhe,Asovsi,1,47,43
Lukaus,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,44
Byonyr,Asovsi,1,32,81
Lukaus,Asovsi,1,NA,44
Sheyhe,Asovsi,1,61,58
Lukaus,Asovsi,1,NA,43
Lukaus,Asovsi,1,NA,58
Lukaus,Asovsi,1,NA,69
Doleoy,Asovsi,1,74,81
Byonyr,Asovsi,1,32,82
Lukaus,Asovsi,1,NA,43
