FocalID,TargetID,Weight,Sex,Year_birth,Month_birth,Age,Mother,Value
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Myrayr,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Myrayr,1,M,NA,NA,NA,NA,1
Acracc,Yeiaer,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Alialo,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Catyav,1,M,NA,NA,NA,NA,1
Acracc,Lehyei,1,M,NA,NA,NA,NA,1
Acracc,Mupsum,1,M,NA,NA,NA,NA,1
Acracc,Poypol,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Zikaik,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Crbsra,1,M,NA,NA,NA,NA,1
Acracc,Myrayr,1,M,NA,NA,NA,NA,1
Acracc,Rulaub,1,M,NA,NA,NA,NA,1
Acracc,Toraox,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Amiamn,1,M,NA,NA,NA,NA,1
Acracc,Apiaph,1,M,NA,NA,NA,NA,1
Acracc,Bucaub,1,M,NA,NA,NA,NA,1
Acracc,Meisen,1,M,NA,NA,NA,NA,1
Acracc,Mupsum,1,M,NA,NA,NA,NA,1
Acracc,Potsot,1,M,NA,NA,NA,NA,1
Acracc,Thshhr,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Zikaik,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Asmast,1,M,NA,NA,NA,NA,1
Acracc,Toraox,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Brseru,1,M,NA,NA,NA,NA,1
Acracc,Crbsra,1,M,NA,NA,NA,NA,1
Acracc,Rulaub,1,M,NA,NA,NA,NA,1
Acracc,Toraox,1,M,NA,NA,NA,NA,1
Acracc,Vecaer,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Aniana,1,M,NA,NA,NA,NA,1
Acracc,Maiaal,1,M,NA,NA,NA,NA,1
Acracc,Rulaub,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Alialo,1,M,NA,NA,NA,NA,1
Acracc,Heiaer,1,M,NA,NA,NA,NA,1
Acracc,Hoinod,1,M,NA,NA,NA,NA,1
Acracc,Lehyei,1,M,NA,NA,NA,NA,1
Acracc,Meisen,1,M,NA,NA,NA,NA,1
Acracc,Samaar,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Vasear,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Hormoo,1,M,NA,NA,NA,NA,1
Acracc,Rirmin,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Myrayr,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Toraox,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Coison,1,M,NA,NA,NA,NA,1
Acracc,Lymaym,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Alialo,1,M,NA,NA,NA,NA,1
Acracc,Sheshi,1,M,NA,NA,NA,NA,1
Acracc,Wartar,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Goeaon,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Alialo,1,M,NA,NA,NA,NA,1
Acracc,Mupsum,1,M,NA,NA,NA,NA,1
Acracc,Wartar,1,M,NA,NA,NA,NA,1
Acracc,Zikaik,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Ecmacz,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Bucaub,1,M,NA,NA,NA,NA,1
Acracc,Ciumil,1,M,NA,NA,NA,NA,1
Acracc,Crbsra,1,M,NA,NA,NA,NA,1
Acracc,Psasse,1,M,NA,NA,NA,NA,1
Acracc,Rirmin,1,M,NA,NA,NA,NA,1
Acracc,Wartar,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Cystys,1,M,NA,NA,NA,NA,1
Acracc,Lehyei,1,M,NA,NA,NA,NA,1
Acracc,Nacoar,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Inzanf,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Catyav,1,M,NA,NA,NA,NA,1
Acracc,Thshhr,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Meisen,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Catyav,1,M,NA,NA,NA,NA,1
Acracc,Cedees,1,M,NA,NA,NA,NA,1
Acracc,Reuxef,1,M,NA,NA,NA,NA,1
Acracc,Rirmin,1,M,NA,NA,NA,NA,1
Acracc,Ulerlc,1,M,NA,NA,NA,NA,1
Acracc,Yeiaer,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Cedees,1,M,NA,NA,NA,NA,1
Acracc,Yeiaer,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Toraox,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Ecmacz,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
Acracc,Alialo,1,M,NA,NA,NA,NA,1
Acracc,Bucaub,1,M,NA,NA,NA,NA,1
Acracc,Ganean,1,M,NA,NA,NA,NA,1
Acracc,Rulaub,1,M,NA,NA,NA,NA,1
Acracc,Acracc,1,M,NA,NA,NA,NA,1
